,pH,NH4+,NO3-,TN,TP,AP,AK,OM,OC,CEC,Mgex,Caex,Ca2+,Mg2+,Fe.DTPA,Mn2+,MC,MBC,MBN,MBC/MBN,rootcd,shootcd,tf,Chuli,,Ac,Am,AcAm
D74-3,8.58,29.05974684,71.95746835,0.784,0.927393422,17.25,104.9,16.68668384,9.679050953,9.222296129,2.652522925,65.65452428,159.1125,7.4875,7.827,7.6386,16.29746835,304.931962,19.04022152,16.01514781,0.369287201,0.072038951,0.195075678,D74,12,D74,CK,Ac
D74B-1,8.57,46.15116883,63.22077922,0.864,0.971753194,16.1,126.4,31.44156031,18.23756398,9.151399254,2.910803917,66.8238523,176.921875,8.196875,8.048,7.3466,14.80519481,286.0435209,16.58246234,17.24976153,0.343078759,0.124775404,0.363693178,D74B,13,D74,B,Ac+Am
D74B-2,8.56,46.71016949,66.14762712,0.867,0.961607744,16.4,121.4,37.31824028,21.64631107,9.500939562,2.665322691,64.32135729,172.434375,8.5625,7.7108,7.1756,14.06779661,274.7766478,16.27975593,16.87842551,0.343164094,0.151650756,0.441919066,D74B,14,D74,B,Ac+Am
D74B-3,8.59,34.04557093,47.09861592,0.904,0.965094186,17.35,121.4,34.45324956,19.98448351,9.537881412,2.705093393,64.00449102,167.20625,8.11875,7.8606,7.1078,12.4567474,292.112649,14.81730104,19.71429535,0.343249428,0.13821308,0.402660773,D74B,15,D74,B,Ac+Am
D74L-1,8.78,9.065746269,67.91626866,0.769,0.919843208,17.85,86.8,15.44720391,8.960095074,9.558430484,2.509668395,68.46224218,219.725,8.378125,8.2618,6.821,14.36567164,239.5579602,10.4896194,22.83762175,0.251393867,0.052202446,0.207652027,D74L,16,D74,L,Ac+Am
D74L-2,8.75,9.226277056,75.0495671,0.78,0.901475113,19.2,90,19.16947763,11.11918656,9.685476349,2.483383161,61.71989355,228.846875,8.328125,8.5766,6.7036,12.77056277,233.9613276,8.967515152,26.08987257,0.253425108,0.072024637,0.284204819,D74L,17,D74,L,Ac+Am
D74L-3,8.76,8.568186715,69.88427289,0.731,0.931593138,17.85,85.3,17.14005883,9.942029483,9.599626766,2.553096172,62.71041251,232.69375,8.709375,8.2692,6.9598,12.38779174,207.9423898,9.256258528,22.46505855,0.255456349,0.062113542,0.24314738,D74L,18,D74,L,Ac+Am
Act12-1,8.54,24.64055666,49.4571173,0.805,1.117366843,14,106,20.85130832,12.0947264,9.366817697,2.824176929,65.8258483,226.578125,9.390625,7.9882,7.9412,16.60039761,251.6236581,3.586628231,70.15604682,0.266581794,0.110632025,0.415002178,Act12,19,Act12,CK,Ac
Act12-2,8.53,19.0109434,46.01855346,0.83,0.925486557,15.45,105.5,23.36440812,13.5524409,9.383988801,2.801320204,65.26530273,211.353125,8.4,8.0358,7.6582,14.08805031,254.720587,3.390696855,75.12337372,0.276587262,0.143849206,0.520086156,Act12,20,Act12,CK,Ac
Act12-3,8.58,12.85736292,28.74848564,0.79,0.944874685,14.35,107.7,23.77578726,13.7910599,9.392387174,2.857547748,67.50998004,215.240625,8.940625,7.9544,7.7822,13.4464752,253.086481,3.013138381,83.99431058,0.256576325,0.077414844,0.301722476,Act12,21,Act12,CK,Ac
Act12B-1,8.54,22.28065319,56.24951788,0.838,0.924595564,14.3,122.5,33.7366135,19.56880134,9.218158806,2.713550381,65.42082502,189.30625,7.640625,8.0144,7.6402,17.26283048,263.2159668,11.177493,23.54874808,0.228287841,0.064702369,0.283424508,Act12B,22,Act12,B,Ac+Am
Act12B-2,8.59,22.20766423,52.14688564,0.823,1.000099698,13.4,122,35.23351004,20.43707079,9.343175153,2.748749737,66.23752495,193.3375,7.875,8.0296,7.6086,15.45012165,253.7593674,12.339309,20.56511976,0.270015854,0.057202547,0.211848846,Act12B,23,Act12,B,Ac+Am
Act12B-3,8.6,27.94232497,55.88464993,0.836,0.949857637,15.25,120.3,36.70108602,21.28833296,9.207809689,2.70943617,69.47771124,197.7125,8.309375,8.1306,7.5798,16.24834875,272.098635,9.234768824,29.46458544,0.249151848,0.084636065,0.339696718,Act12B,24,Act12,B,Ac+Am
Act12L-1,8.72,9.59845152,43.9447178,0.749,0.923690996,15.65,87.4,23.60365004,13.69121232,9.575309793,2.433098366,63.81819694,229.68125,8.003125,7.7444,7.2566,10.56439942,195.8955459,5.205371925,37.63334277,0.236106969,0.13933121,0.590119007,Act12L,25,Act12,L,Ac+Am
Act12L-2,8.85,8.2760193,63.35435464,0.866,0.945790329,16.15,87.4,23.32838562,13.53154618,9.296622927,2.426012781,66.99517631,246.45625,9.303125,7.9506,7.4366,13.26899879,203.1542421,4.517167672,44.97381033,0.275324933,0.131840796,0.478855273,Act12L,26,Act12,L,Ac+Am
Act12L-3,8.77,5.572857143,38.77285714,0.825,0.945436222,14.55,85.9,22.39231073,12.98857931,9.346881448,2.515382576,62.24717232,223.290625,7.375,7.9732,7.4886,10.85714286,184.7865397,5.999588571,30.79986861,0.255715951,0.163934426,0.641080173,Act12L,27,Act12,L,Ac+Am
